,When,T_a,RH,v_a,p_a,SW_global
0,2020-12-14 00:00:00,-9.72,24.25,2.405,617.679,-3.614
1,2020-12-14 00:15:00,-9.96,23.53,3.023,617.596,-3.094
2,2020-12-14 00:30:00,-9.93,22.84,2.616,617.513,-3.062
3,2020-12-14 00:45:00,-9.91,22.26,2.358,617.43,-3.0980000000000003
4,2020-12-14 01:00:00,-10.18,22.19,3.1430000000000002,617.3480000000001,-3.2939999999999996
5,2020-12-14 01:15:00,-10.14,21.59,2.715,617.332,-3.4160000000000004
6,2020-12-14 01:30:00,-10.33,22.54,3.237,617.317,-3.43
7,2020-12-14 01:45:00,-10.4,21.36,3.201,617.302,-3.174
8,2020-12-14 02:00:00,-10.31,20.52,2.407,617.286,-3.088
9,2020-12-14 02:15:00,-10.38,21.67,2.602,617.276,-3.2560000000000002
10,2020-12-14 02:30:00,-10.52,22.11,3.325,617.266,-3.361
11,2020-12-14 02:45:00,-10.66,22.11,3.5180000000000002,617.255,-2.9339999999999997
12,2020-12-14 03:00:00,-10.89,23.49,4.563,617.245,-2.9360000000000004
13,2020-12-14 03:15:00,-10.97,22.81,4.716,617.185,-3.208
14,2020-12-14 03:30:00,-11.22,22.97,4.815,617.125,-3.2560000000000002
15,2020-12-14 03:45:00,-11.25,21.95,4.163,617.064,-3.0810000000000004
16,2020-12-14 04:00:00,-11.38,22.1,5.008,617.004,-3.153
17,2020-12-14 04:15:00,-11.41,22.73,4.75,616.964,-3.2460000000000004
18,2020-12-14 04:30:00,-11.43,22.91,4.58,616.924,-3.091
19,2020-12-14 04:45:00,-11.43,21.6,5.029,616.884,-3.033
20,2020-12-14 05:00:00,-11.41,21.89,5.004,616.844,-2.969
21,2020-12-14 05:15:00,-11.32,19.92,4.603,616.9169999999999,-3.033
22,2020-12-14 05:30:00,-11.29,19.78,4.575,616.989,-2.971
23,2020-12-14 05:45:00,-11.3,20.41,4.2989999999999995,617.062,-3.142
24,2020-12-14 06:00:00,-11.11,18.69,4.691,617.134,-3.11
25,2020-12-14 06:15:00,-11.28,19.24,4.348,617.207,-2.8339999999999996
26,2020-12-14 06:30:00,-11.42,19.99,5.167000000000001,617.279,-2.886
27,2020-12-14 06:45:00,-11.3,19.29,4.71,617.352,-2.835
28,2020-12-14 07:00:00,-11.45,18.78,5.022,617.425,-3.102
29,2020-12-14 07:15:00,-11.46,20.14,5.6,617.488,-1.3530000000000002
30,2020-12-14 07:30:00,-11.48,18.17,5.038,617.55,3.323
31,2020-12-14 07:45:00,-11.32,19.32,5.517,617.613,10.76
32,2020-12-14 08:00:00,-11.41,18.75,5.518,617.6759999999999,53.24
