,T_a,RH,p_a,v_a,SnowHeight,SW_global,LW_in
2020-12-03 15:30:00,4.940413,22.15347,67.96549,,140.9,211.6663,247.4468
2020-12-03 16:00:00,4.618932,22.40707,67.96429,,165.2,144.7748,241.2562
2020-12-03 16:30:00,4.279237,22.8854,67.96597,,130.7,84.96142,248.3091
2020-12-03 17:00:00,3.987273,22.74724,67.96904,,105.2,27.25044,242.148
2020-12-03 17:30:00,3.700313,23.35602,67.97453,,105.2,-1.213942,244.697
2020-12-03 18:00:00,3.459389,24.83238,67.98359,,105.2,-4.239451,242.1273
2020-12-03 18:30:00,3.185245,25.7294,67.99141,,105.3,-3.985017,243.256
2020-12-03 19:00:00,2.36183,26.5057,67.99303,,105.3,-4.121289,242.0754
2020-12-03 19:30:00,2.003208,26.83701,68.00047,,105.3,-3.227709,227.5744
2020-12-03 20:00:00,1.942781,27.13577,68.0098,,105.1,-3.027501,216.4373
2020-12-03 20:30:00,1.356618,27.97299,68.02067,,105.1,-2.726329,215.6649
2020-12-03 21:00:00,1.047462,28.78111,68.0301,,105.1,-2.049181,227.0183
2020-12-03 21:30:00,0.8812271,28.59689,68.02737,,105,-2.326438,217.707
2020-12-03 22:00:00,0.2848133,29.13773,68.0304,,105.2,-2.965698,210.9289
2020-12-03 22:30:00,-0.05284432,30.3679,68.04137,,105.1,-2.630707,208.6258
2020-12-03 23:00:00,-1.041995,32.3618,68.04347,,105.3,-2.46335,207.6222
2020-12-03 23:30:00,-0.5287606,31.75216,68.02742,,105.1,-1.702303,206.6839
2020-12-04 00:00:00,-1.386621,32.53897,68.01848,,104.9,-3.269454,205.4861
2020-12-04 00:30:00,-1.730169,34.40567,68.00074,,105.1,-2.014603,205.251
2020-12-04 01:00:00,-1.616849,33.67872,67.97716,,104.9,-2.594126,205.3051
2020-12-04 01:30:00,-2.026982,34.77468,67.96119,,105.2,-1.386351,216.7016
2020-12-04 02:00:00,-2.787326,36.29822,67.95291,,105.1,-2.723078,209.66
2020-12-04 02:30:00,-4.107168,39.9421,67.95215,,105.3,-2.269079,220.3986
2020-12-04 03:00:00,-3.268297,38.88139,67.95186,,105.2,0.1381677,246.5956
2020-12-04 03:30:00,-3.70154,39.19911,67.94489,,105.2,-0.9561154,244.9996
2020-12-04 04:00:00,-4.519596,42.00322,67.93898,,105.2,-1.345486,246.2717
2020-12-04 04:30:00,-4.125283,41.3091,67.92491,,105.2,-1.024589,243.5003
2020-12-04 05:00:00,-4.856926,42.4177,67.92089,,105.3,-2.502162,219.8473
2020-12-04 05:30:00,-4.724897,41.99714,67.91424,,105.3,-0.4222148,229.1207
2020-12-04 06:00:00,-4.490674,41.5704,67.91617,,105.3,0.2236805,241.3854
2020-12-04 06:30:00,-4.215944,40.58053,67.92096,,105.1,-1.319697,235.9044
2020-12-04 07:00:00,-5.053853,43.25078,67.91434,,105.2,-1.876908,224.8139
2020-12-04 07:30:00,-5.001671,42.33865,67.93146,,105.2,6.607239,226.2461
2020-12-04 08:00:00,-5.715121,45.26637,67.95564,,105.3,63.4992,209.8625
2020-12-04 08:30:00,-3.25561,38.92349,67.96469,,105.1,176.977,216.1171
2020-12-04 09:00:00,-3.351301,39.18396,67.98086,,105.2,256.3325,210.4591
2020-12-04 09:30:00,-2.637962,37.35734,67.99368,,105.2,352.6201,208.0777
2020-12-04 10:00:00,-1.566018,34.72998,67.99821,,105.2,475.3374,212.8997
2020-12-04 10:30:00,0.006931051,32.04789,67.98585,,105,532.173,213.6742
2020-12-04 11:00:00,0.447918,31.09189,67.96127,,105.4,584.0571,216.0941
2020-12-04 11:30:00,1.841871,29.04268,67.92002,,105.4,625.4345,221.3717
2020-12-04 12:00:00,2.341421,27.37115,67.86806,,105.2,653.9185,226.8945
2020-12-04 12:30:00,3.212322,25.81275,67.8094,,136.1,620.1052,233.2796
2020-12-04 13:00:00,3.319851,25.42667,67.75765,,113,430.9429,268.7849
2020-12-04 13:30:00,3.48115,24.77075,67.71619,,105.1,360.763,275.8914
2020-12-04 14:00:00,3.74906,24.39779,67.68039,,105.1,369.4943,278.1495
2020-12-04 14:30:00,4.023943,24.0022,67.63318,,105,379.1186,261.5975
2020-12-04 15:00:00,4.127063,23.95886,67.60459,,104.8,293.4332,246.896
2020-12-04 15:30:00,4.083411,24.58506,67.58033,,104.9,178.9501,243.5824
