When,2D Length,2D Area,FillV,CutV,TotalV,Area,rad
2021-02-15,61.67,284.93,-5.34,155.11,149.77,363.44,9.81
2021-02-18,62.17,289.72,-3.88,157.0,153.12,371.9,9.89
2021-02-24,60.49,274.64,-1.56,166.21,164.66,342.61,9.63
2021-02-25,60.37,272.8,-1.08,163.78,162.7,348.72,9.61
2021-03-01,61.54,281.94,-1.17,163.4,162.23,347.53,9.79
2021-03-03,60.98,278.37,-2.38,161.06,158.68,372.76,9.71
2021-03-08,60.36,273.01,-3.06,163.14,160.07,344.47,9.61
2021-03-29,60.52,273.49,-1.12,265.24,264.11,355.12,9.63
2021-04-02,61.88,286.86,-3.26,238.82,235.56,369.16,9.85
2021-04-08,61.3,281.18,-1.43,252.87,251.45,362.31,9.76
2021-04-14,63.62,303.54,-1.4,318.92,317.52,392.94,10.13
2021-04-28,59.94,267.28,-4.31,304.0,299.69,365.27,9.54
2021-05-18,58.58,252.02,-0.06,345.32,345.26,343.44,9.32
